,movieId,mean_rating,number_of_ratings,title
244,50872,3.8680555555555554,72,Ratatouille (2007)
245,45722,3.5069444444444446,72,Pirates of the Caribbean: Dead Man's Chest (2006)
246,1028,3.887323943661972,71,Mary Poppins (1964)
247,63082,3.8098591549295775,71,Slumdog Millionaire (2008)
248,1079,3.9225352112676055,71,"Fish Called Wanda, A (1988)"
249,99114,3.943661971830986,71,Django Unchained (2012)
250,6373,3.316901408450704,71,Bruce Almighty (2003)
251,40815,3.816901408450704,71,Harry Potter and the Goblet of Fire (2005)
252,2985,3.3714285714285714,70,RoboCop (1987)
253,235,3.6785714285714284,70,Ed Wood (1994)
254,11,3.6714285714285713,70,"American President, The (1995)"
255,4034,3.9,70,Traffic (2000)
256,474,3.692857142857143,70,In the Line of Fire (1993)
257,3408,3.5285714285714285,70,Erin Brockovich (2000)
258,1407,3.2,70,Scream (1996)
259,520,3.130434782608696,69,Robin Hood: Men in Tights (1993)
260,89745,3.869565217391304,69,"Avengers, The (2012)"
261,1278,3.9927536231884058,69,Young Frankenstein (1974)
262,923,4.043478260869565,69,Citizen Kane (1941)
263,7147,3.8333333333333335,69,Big Fish (2003)
264,1380,3.139705882352941,68,Grease (1978)
265,2054,2.7573529411764706,68,"Honey, I Shrunk the Kids (1989)"
266,266,3.3970588235294117,68,Legends of the Fall (1994)
267,48,3.1470588235294117,68,Pocahontas (1995)
268,1370,3.4044117647058822,68,Die Hard 2 (1990)
269,3753,3.448529411764706,68,"Patriot, The (2000)"
270,4979,3.6838235294117645,68,"Royal Tenenbaums, The (2001)"
271,4262,3.9328358208955225,67,Scarface (1983)
272,2353,3.4925373134328357,67,Enemy of the State (1998)
273,36,3.8358208955223883,67,Dead Man Walking (1995)
274,74458,4.022388059701493,67,Shutter Island (2010)
275,2542,4.052238805970149,67,"Lock, Stock & Two Smoking Barrels (1998)"
276,2081,3.425373134328358,67,"Little Mermaid, The (1989)"
277,17,3.7761194029850746,67,Sense and Sensibility (1995)
278,1544,2.753731343283582,67,"Lost World: Jurassic Park, The (1997)"
279,1288,4.015151515151516,66,This Is Spinal Tap (1984)
280,163,3.5606060606060606,66,Desperado (1995)
281,508,3.6136363636363638,66,Philadelphia (1993)
282,6863,3.4015151515151514,66,School of Rock (2003)
283,555,3.8,65,True Romance (1993)
284,553,3.8153846153846156,65,Tombstone (1993)
285,2194,3.9384615384615387,65,"Untouchables, The (1987)"
286,48385,3.3461538461538463,65,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
287,4246,3.623076923076923,65,Bridget Jones's Diary (2001)
288,653,3.0923076923076924,65,Dragonheart (1996)
289,5481,2.8461538461538463,65,Austin Powers in Goldmember (2002)
290,56367,3.769230769230769,65,Juno (2007)
291,70286,3.776923076923077,65,District 9 (2009)
292,2710,2.796875,64,"Blair Witch Project, The (1999)"
293,1234,3.9765625,64,"Sting, The (1973)"
294,4025,3.0546875,64,Miss Congeniality (2000)
295,1035,3.9375,64,"Sound of Music, The (1965)"
296,55820,3.8984375,64,No Country for Old Men (2007)
297,353,3.609375,64,"Crow, The (1994)"
298,48774,3.9453125,64,Children of Men (2006)
299,4447,3.15625,64,Legally Blonde (2001)
300,1954,3.828125,64,Rocky (1976)
301,786,3.109375,64,Eraser (1996)
302,2657,3.3412698412698414,63,"Rocky Horror Picture Show, The (1975)"
303,5502,3.1666666666666665,63,Signs (2002)
304,435,2.4206349206349205,63,Coneheads (1993)
305,1090,3.984126984126984,63,Platoon (1986)
306,56174,3.4838709677419355,62,I Am Legend (2007)
307,3081,3.475806451612903,62,Sleepy Hollow (1999)
308,41566,3.443548387096774,62,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
309,1304,3.943548387096774,62,Butch Cassidy and the Sundance Kid (1969)
310,7143,3.903225806451613,62,"Last Samurai, The (2003)"
311,173,2.6693548387096775,62,Judge Dredd (1995)
312,3671,3.935483870967742,62,Blazing Saddles (1974)
313,1127,3.475806451612903,62,"Abyss, The (1989)"
314,1374,3.7661290322580645,62,Star Trek II: The Wrath of Khan (1982)
315,3421,3.693548387096774,62,Animal House (1978)
316,158,2.806451612903226,62,Casper (1995)
317,5459,2.959016393442623,61,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
318,509,3.540983606557377,61,"Piano, The (1993)"
319,51255,4.0,61,Hot Fuzz (2007)
320,30793,3.0,61,Charlie and the Chocolate Factory (2005)
321,3717,3.221311475409836,61,Gone in 60 Seconds (2000)
322,8644,3.4918032786885247,61,"I, Robot (2004)"
323,552,3.262295081967213,61,"Three Musketeers, The (1993)"
324,3253,3.4754098360655736,61,Wayne's World (1992)
325,3527,3.581967213114754,61,Predator (1987)
326,2640,3.6065573770491803,61,Superman (1978)
327,2321,3.4836065573770494,61,Pleasantville (1998)
328,466,2.8666666666666667,60,Hot Shots! Part Deux (1993)
329,2006,3.1,60,"Mask of Zorro, The (1998)"
330,903,4.025,60,Vertigo (1958)
331,596,3.45,60,Pinocchio (1940)
332,5299,3.2666666666666666,60,My Big Fat Greek Wedding (2002)
333,1377,3.025,60,Batman Returns (1992)
334,3471,3.7416666666666667,60,Close Encounters of the Third Kind (1977)
335,112852,4.0508474576271185,59,Guardians of the Galaxy (2014)
336,1552,3.0338983050847457,59,Con Air (1997)
337,1252,4.211864406779661,59,Chinatown (1974)
338,1500,3.610169491525424,59,Grosse Pointe Blank (1997)
339,6942,3.788135593220339,59,Love Actually (2003)
340,33679,3.2796610169491527,59,Mr. & Mrs. Smith (2005)
341,6378,3.6186440677966103,59,"Italian Job, The (2003)"
342,68358,3.864406779661017,59,Star Trek (2009)
343,3033,3.483050847457627,59,Spaceballs (1987)
344,420,2.7203389830508473,59,Beverly Hills Cop III (1994)
345,1199,4.177966101694915,59,Brazil (1985)
346,3535,3.788135593220339,59,American Psycho (2000)
347,2302,3.26271186440678,59,My Cousin Vinny (1992)
348,708,3.3879310344827585,58,"Truth About Cats & Dogs, The (1996)"
349,953,4.0344827586206895,58,It's a Wonderful Life (1946)
350,6502,3.9741379310344827,58,28 Days Later (2002)
351,69844,3.8879310344827585,58,Harry Potter and the Half-Blood Prince (2009)
352,1207,4.120689655172414,58,To Kill a Mockingbird (1962)
353,1230,3.8706896551724137,58,Annie Hall (1977)
354,1608,3.3448275862068964,58,Air Force One (1997)
355,370,3.060344827586207,58,Naked Gun 33 1/3: The Final Insult (1994)
356,81845,4.043103448275862,58,"King's Speech, The (2010)"
357,34162,3.5086206896551726,58,Wedding Crashers (2005)
358,54001,3.8620689655172415,58,Harry Potter and the Order of the Phoenix (2007)
359,1394,3.9913793103448274,58,Raising Arizona (1987)
360,73017,3.853448275862069,58,Sherlock Holmes (2009)
361,2167,3.3620689655172415,58,Blade (1998)
362,5669,3.7758620689655173,58,Bowling for Columbine (2002)
363,2470,3.175438596491228,57,Crocodile Dundee (1986)
364,350,3.3859649122807016,57,"Client, The (1994)"
365,1203,4.149122807017544,57,12 Angry Men (1957)
366,2005,3.5701754385964914,57,"Goonies, The (1985)"
367,908,4.184210526315789,57,North by Northwest (1959)
368,2268,3.789473684210526,57,"Few Good Men, A (1992)"
369,80463,3.8859649122807016,57,"Social Network, The (2010)"
370,160,2.8771929824561404,57,Congo (1995)
371,8641,3.7719298245614037,57,Anchorman: The Legend of Ron Burgundy (2004)
372,1276,4.271929824561403,57,Cool Hand Luke (1967)
373,2395,3.544642857142857,56,Rushmore (1998)
374,4370,3.3392857142857144,56,A.I. Artificial Intelligence (2001)
375,1148,4.035714285714286,56,Wallace & Gromit: The Wrong Trousers (1993)
376,1777,3.419642857142857,56,"Wedding Singer, The (1998)"
377,1641,3.7589285714285716,56,"Full Monty, The (1997)"
378,1302,3.517857142857143,56,Field of Dreams (1989)
379,2529,3.8035714285714284,56,Planet of the Apes (1968)
380,53125,3.4375,56,Pirates of the Caribbean: At World's End (2007)
381,2599,3.6607142857142856,56,Election (1999)
382,2671,3.455357142857143,56,Notting Hill (1999)
383,70,3.5090909090909093,55,From Dusk Till Dawn (1996)
384,54503,3.8636363636363638,55,Superbad (2007)
385,4308,3.590909090909091,55,Moulin Rouge (2001)
386,5956,3.518181818181818,55,Gangs of New York (2002)
387,4720,3.6272727272727274,55,"Others, The (2001)"
388,2804,3.9727272727272727,55,"Christmas Story, A (1983)"
389,432,2.6454545454545455,55,City Slickers II: The Legend of Curly's Gold (1994)
390,78499,4.109090909090909,55,Toy Story 3 (2010)
391,2080,3.4,55,Lady and the Tramp (1955)
392,91500,3.435185185185185,54,The Hunger Games (2012)
393,106782,3.9166666666666665,54,"Wolf of Wall Street, The (2013)"
394,4816,3.509259259259259,54,Zoolander (2001)
395,168,3.0833333333333335,54,First Knight (1995)
396,2572,3.5277777777777777,54,10 Things I Hate About You (1999)
397,7,3.185185185185185,54,Sabrina (1995)
398,2406,3.4537037037037037,54,Romancing the Stone (1984)
399,784,2.8055555555555554,54,"Cable Guy, The (1996)"
400,59784,3.4444444444444446,54,Kung Fu Panda (2008)
401,122904,3.8333333333333335,54,Deadpool (2016)
402,4018,3.138888888888889,54,What Women Want (2000)
403,673,2.707547169811321,53,Space Jam (1996)
404,71535,3.8773584905660377,53,Zombieland (2009)
405,1282,3.7830188679245285,53,Fantasia (1940)
406,3911,3.688679245283019,53,Best in Show (2000)
407,2699,2.811320754716981,53,Arachnophobia (1990)
408,2701,2.207547169811321,53,Wild Wild West (1999)
409,49530,3.7641509433962264,53,Blood Diamond (2006)
410,485,2.9339622641509435,53,Last Action Hero (1993)
411,76093,3.943396226415094,53,How to Train Your Dragon (2010)
412,2712,3.4622641509433962,53,Eyes Wide Shut (1999)
413,172,2.6792452830188678,53,Johnny Mnemonic (1995)
414,2947,3.839622641509434,53,Goldfinger (1964)
415,1997,3.80188679245283,53,"Exorcist, The (1973)"
416,3489,3.358490566037736,53,Hook (1991)
417,2078,3.830188679245283,53,"Jungle Book, The (1967)"
418,225,3.5384615384615383,52,Disclosure (1994)
419,52973,3.6538461538461537,52,Knocked Up (2007)
420,1466,3.7403846153846154,52,Donnie Brasco (1997)
421,30707,3.8461538461538463,52,Million Dollar Baby (2004)
422,109374,3.7788461538461537,52,"Grand Budapest Hotel, The (2014)"
423,1639,3.576923076923077,52,Chasing Amy (1997)
424,6870,3.7115384615384617,52,Mystic River (2003)
425,3,3.2596153846153846,52,Grumpier Old Men (1995)
426,45499,3.355769230769231,52,X-Men: The Last Stand (2006)
427,3552,3.826923076923077,52,Caddyshack (1980)
428,3160,3.7115384615384617,52,Magnolia (1999)
429,145,3.2450980392156863,51,Bad Boys (1995)
430,4239,3.8137254901960786,51,Blow (2001)
431,4848,3.843137254901961,51,Mulholland Drive (2001)
432,1645,3.411764705882353,51,The Devil's Advocate (1997)
433,1215,4.03921568627451,51,Army of Darkness (1993)
434,2100,3.1176470588235294,51,Splash (1984)
435,4776,3.7941176470588234,51,Training Day (2001)
436,8464,3.51,50,Super Size Me (2004)
437,3785,2.92,50,Scary Movie (2000)
438,5010,3.81,50,Black Hawk Down (2001)
439,96079,3.81,50,Skyfall (2012)
440,8361,3.05,50,"Day After Tomorrow, The (2004)"
441,910,4.01,50,Some Like It Hot (1959)
442,2424,3.12,50,You've Got Mail (1998)
443,34048,3.15,50,War of the Worlds (2005)
444,2105,3.34,50,Tron (1982)
445,88125,3.91,50,Harry Potter and the Deathly Hallows: Part 2 (2011)
446,116797,4.02,50,The Imitation Game (2014)
447,34405,3.94,50,Serenity (2005)
448,33166,3.89,50,Crash (2004)
449,333,3.78,50,Tommy Boy (1995)
450,5464,3.520408163265306,49,Road to Perdition (2002)
451,661,3.4489795918367347,49,James and the Giant Peach (1996)
452,5991,3.7244897959183674,49,Chicago (2002)
453,3176,3.336734693877551,49,"Talented Mr. Ripley, The (1999)"
454,216,3.326530612244898,49,Billy Madison (1995)
455,5,3.0714285714285716,49,Father of the Bride Part II (1995)
456,2641,3.020408163265306,49,Superman II (1980)
457,4643,2.7448979591836733,49,Planet of the Apes (2001)
458,45447,3.122448979591837,49,"Da Vinci Code, The (2006)"
459,2144,3.6020408163265305,49,Sixteen Candles (1984)
460,1748,3.8229166666666665,48,Dark City (1998)
461,8784,3.7083333333333335,48,Garden State (2004)
462,745,3.8958333333333335,48,Wallace & Gromit: A Close Shave (1995)
463,30749,3.7916666666666665,48,Hotel Rwanda (2004)
464,134130,4.0,48,The Martian (2015)
465,3000,3.9583333333333335,48,Princess Mononoke (Mononoke-hime) (1997)
466,1729,3.6979166666666665,48,Jackie Brown (1997)
467,2763,3.6458333333333335,48,"Thomas Crown Affair, The (1999)"
468,2019,4.1875,48,Seven Samurai (Shichinin no samurai) (1954)
469,186,2.8229166666666665,48,Nine Months (1995)
470,1275,3.7291666666666665,48,Highlander (1986)
471,7458,3.4270833333333335,48,Troy (2004)
472,2694,3.1979166666666665,48,Big Daddy (1999)
473,899,4.074468085106383,47,Singin' in the Rain (1952)
474,1320,3.148936170212766,47,Alien³ (a.k.a. Alien 3) (1992)
475,8529,3.3191489361702127,47,"Terminal, The (2004)"
476,1092,3.1914893617021276,47,Basic Instinct (1992)
477,783,3.3297872340425534,47,"Hunchback of Notre Dame, The (1996)"
478,7293,3.5531914893617023,47,50 First Dates (2004)
479,122882,3.8191489361702127,47,Mad Max: Fury Road (2015)
480,1367,3.074468085106383,47,101 Dalmatians (1996)
481,1358,3.8404255319148937,47,Sling Blade (1996)
